mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.03898461659749349,0.008897830523584225,0.013705730438232422,0.001418942493301936,0.1,8,"{'learning_rate': 0.1, 'n_estimators': 8}",0.83556447712831,0.6396368786820517,0.8379125702841281,0.7710379753648299,0.09291955137804146,14
0.04890139897664388,0.006302476785960858,0.013725598653157553,0.0004762495446894135,0.1,16,"{'learning_rate': 0.1, 'n_estimators': 16}",0.8315535729720172,0.5517548058334232,0.7325793246283654,0.7052959011446019,0.11584508742516178,23
0.09710144996643066,0.022900302721615817,0.013930797576904297,0.0004199877546955491,0.1,32,"{'learning_rate': 0.1, 'n_estimators': 32}",0.8529487218090238,0.6591465337764564,0.875206082944209,0.7957671128432299,0.0970317284863766,8
0.18818449974060059,0.013587032887305155,0.03197495142618815,0.001040242425230365,0.1,64,"{'learning_rate': 0.1, 'n_estimators': 64}",0.8714170637221249,0.6473696356683302,0.8907086920900164,0.8031651304934905,0.1104452168486972,7
0.3128225803375244,0.055829048534479064,0.05208317438761393,0.014728918680190071,0.1,128,"{'learning_rate': 0.1, 'n_estimators': 128}",0.8776238379968471,0.6826640427340157,0.8959436879551804,0.818743856228681,0.09651318029568516,6
0.48393408457438153,0.21261318968749496,0.0833137035369873,0.038956017046364845,0.1,256,"{'learning_rate': 0.1, 'n_estimators': 256}",0.8623992646860542,0.7205034174500093,0.9106580809860666,0.83118692104071,0.08070669866045437,5
0.020829518636067707,0.00736333541384326,0.005208651224772136,0.007366145203743986,0.01,8,"{'learning_rate': 0.01, 'n_estimators': 8}",0.8905577011212256,0.5502103888787284,0.8754959368376323,0.772088008945862,0.1570116193170113,13
0.04729684193929037,0.0005759256072178533,0.010048468907674154,0.007119500782365522,0.01,16,"{'learning_rate': 0.01, 'n_estimators': 16}",0.7877925322241,0.550541798267812,0.7856620054572168,0.7079987786497096,0.1113422959146405,22
0.09375397364298503,8.913014968331068e-06,0.015621105829874674,3.311263188679959e-06,0.01,32,"{'learning_rate': 0.01, 'n_estimators': 32}",0.8426645466647709,0.6389338070919677,0.7143042016839815,0.73196751848024,0.08410528374961183,20
0.17188350359598795,7.336511550168528e-06,0.031240542729695637,2.2393866862623484e-06,0.01,64,"{'learning_rate': 0.01, 'n_estimators': 64}",0.8695790817596272,0.6299028176320994,0.8696971020123924,0.789726333801373,0.11301230234721513,10
0.3595411777496338,0.00022695203010205344,0.057277679443359375,0.007355638537582773,0.01,128,"{'learning_rate': 0.01, 'n_estimators': 128}",0.8175106314457096,0.6305301325680859,0.8746747260256966,0.7742384966798307,0.10426250161345256,12
0.6979532241821289,0.014285665078413728,0.1198280652364095,0.007403641877574475,0.01,256,"{'learning_rate': 0.01, 'n_estimators': 256}",0.8575418309360412,0.6472807063307383,0.875769744863803,0.7935307607101941,0.10368179851846326,9
0.02604540189107259,0.0073750820062283545,0.005202690760294597,0.007357715834041807,0.5,8,"{'learning_rate': 0.5, 'n_estimators': 8}",0.7681703536470245,0.5809053583329303,0.8635532705825649,0.7375429941875066,0.11740524387881537,18
0.041674534479777016,0.007362496492266849,0.010413805643717447,0.007363673834034013,0.5,16,"{'learning_rate': 0.5, 'n_estimators': 16}",0.8648507719572598,0.6319504038425989,0.8447675780093447,0.780522917936401,0.10537608086563789,11
0.08853443463643391,0.007367845543448446,0.015629927317301433,3.440357974674442e-06,0.5,32,"{'learning_rate': 0.5, 'n_estimators': 32}",0.8900167684245834,0.7366323738106086,0.8896712329974241,0.838773458410872,0.07222479131697777,3
0.161470095316569,0.014733306110237649,0.026073376337687176,0.007390813277959884,0.5,64,"{'learning_rate': 0.5, 'n_estimators': 64}",0.8966961127585074,0.7463602616310663,0.9097487655463041,0.8509350466452926,0.07413729237830056,1
0.135418971379598,0.09744226600984822,0.026038726170857746,0.026557564920169464,0.5,128,"{'learning_rate': 0.5, 'n_estimators': 128}",0.8508046572704133,0.7676452201002615,0.8999836609985036,0.8394778461230595,0.05461738565036011,2
0.26580039660135907,0.21297642857297558,0.046868483225504555,0.04600002399424216,0.5,256,"{'learning_rate': 0.5, 'n_estimators': 256}",0.830276086090977,0.7617471136813899,0.9196506431459214,0.8372246143060961,0.06465081947202354,4
0.015628655751546223,9.907687340504163e-06,0.005207379659016927,0.007364346938207522,0.001,8,"{'learning_rate': 0.001, 'n_estimators': 8}",0.7929287098233873,0.641363777637364,0.7648474316034839,0.7330466396880784,0.06583540051762249,19
0.041665871938069664,0.00736734732103598,0.0,0.0,0.001,16,"{'learning_rate': 0.001, 'n_estimators': 16}",0.8040385019852446,0.5594114060571711,0.7435663808096913,0.7023387629507023,0.10403650439884339,24
0.06771047910054524,0.007365696007791147,0.010416189829508463,0.007365358503732699,0.001,32,"{'learning_rate': 0.001, 'n_estimators': 32}",0.8373822350287397,0.5739162909057649,0.7189874090963995,0.710095311676968,0.10774314510458075,21
0.13542024294535318,0.007367888817129769,0.02642480532328288,0.007655176970220688,0.001,64,"{'learning_rate': 0.001, 'n_estimators': 64}",0.8296911211235829,0.5989634082597044,0.8561680606097328,0.7616075299976733,0.11551360622043554,17
