mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0505982240041097,0.01466568794407617,0.012853225072224935,0.0029074882233552633,8,{'n_estimators': 8},0.9202450232602415,0.7671701976684648,0.9672146966397351,0.8848766391894806,0.08541132764842256,1
0.06045993169148763,0.006312363328353701,0.01372679074605306,0.002567603591935597,16,{'n_estimators': 16},0.9267222809806708,0.7340917955015266,0.9353439010890093,0.8653859925237355,0.09290571461470351,3
0.11264268557230632,0.007425723456347352,0.015884876251220703,0.0015004707046051297,32,{'n_estimators': 32},0.9148371140744282,0.7461080366274003,0.9309119308598972,0.8639523605205753,0.0835865357540764,4
0.17987545331319174,0.016991023525576854,0.02483828862508138,0.0074117905214504285,64,{'n_estimators': 64},0.9248938437778857,0.7561944530683156,0.9105528820299279,0.8638803929587097,0.07637020376002798,5
0.3723858992258708,0.03433236178928854,0.0469506581624349,0.007572662044757138,128,{'n_estimators': 128},0.9185089009157567,0.7466309321798221,0.9251810815556951,0.863440304883758,0.08264160236522618,6
0.8724027474721273,0.1321503740459652,0.10796221097310384,0.011370609940130087,256,{'n_estimators': 256},0.9315592014614451,0.745959282592028,0.9261825967474627,0.8679003602669786,0.08625329670205405,2
