mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.038193146387736,0.010468773651490211,0.0056684017181396484,0.0012452453801924555,0.1,8,0.6,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.6}",0.6764679600816537,0.5683976494898682,0.6550038384833491,0.6332898160182903,0.046714894745045754,72
0.016996463139851887,0.001413213550790182,0.0036710103352864585,0.0012502112621887024,0.1,8,0.7,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.7}",0.6746172512391877,0.5804422508752386,0.6503428070565551,0.6351341030569938,0.03992251813531771,71
0.016001065572102863,0.0021574870549188664,0.0019981066385904946,1.7007934696700331e-06,0.1,8,0.75,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.75}",0.65367145439203,0.5447313645096874,0.6139690498161996,0.6041239562393056,0.04501614670720252,74
0.017279545466105144,0.0032281682640593317,0.002669731775919596,0.0009466744333678188,0.1,8,0.8,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.8}",0.6811085618484936,0.5764511746764474,0.6534167500612675,0.6369921621954028,0.04427653620404776,70
0.0351719856262207,0.017636769212890334,0.022333304087320965,0.02456508675348362,0.1,8,0.85,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.85}",0.6448917812257806,0.6192802621389929,0.6534702580331815,0.6392141004659849,0.014523911294110207,69
0.05849369366963705,0.013760715076212241,0.009317239125569662,0.005311116985738876,0.1,8,0.9,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.9}",0.6568518202855138,0.5956301349724629,0.7140796709710178,0.6555205420763315,0.04836598233483889,67
0.12826951344807944,0.05916399036909359,0.0046685536702473955,0.0009430228166927309,0.1,16,0.6,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.6}",0.831898774427345,0.6925205371460045,0.7963509737702934,0.7735900951145475,0.05913327576922941,60
0.04692657788594564,0.005852919967020521,0.005335569381713867,0.0023565157517881417,0.1,16,0.7,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.7}",0.854351069323348,0.695200873574916,0.844828601008413,0.7981268479688923,0.07288340691092103,53
0.08417860666910808,0.028467943084566606,0.012998580932617188,0.009267701707560904,0.1,16,0.75,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.75}",0.845152835081273,0.7275963412043845,0.8469576353290191,0.8065689372048922,0.05584691883639371,50
0.0982956091562907,0.037766621506834235,0.00537562370300293,0.0012361440872620257,0.1,16,0.8,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.8}",0.8450154683069536,0.7160232327977099,0.7913127789191472,0.7841171600079369,0.05290609230233369,58
0.04630740483601888,0.0006816128331172752,0.005994240442911784,4.16304297565104e-06,0.1,16,0.85,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.85}",0.8060845257589828,0.7290665018799742,0.8552855844622677,0.7968122040337415,0.051944176219034965,54
0.04995083808898926,0.009644063013148761,0.004332065582275391,0.001696604243371444,0.1,16,0.9,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.9}",0.8546232780440028,0.7095206575522325,0.8676687078439613,0.8106042144800655,0.07167500689711984,49
0.12434633572896321,0.006534117721162427,0.003334522247314453,0.000476268946335932,0.1,32,0.6,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.6}",0.8997498620204013,0.769246050401427,0.9437386940520743,0.870911535491301,0.07409749199443127,29
0.0751180648803711,0.0024675036210990665,0.0034636656443277993,0.00041368256453659045,0.1,32,0.7,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.7}",0.9288019783325158,0.7882890526196744,0.9273629960784381,0.881484675676876,0.0659018754677331,7
0.08006954193115234,0.007177964356145792,0.0036693414052327475,0.00047243832457325894,0.1,32,0.75,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.75}",0.922135596307126,0.7459250060346989,0.9149720402866012,0.8610108808761421,0.08143053511932746,39
0.05618731180826823,0.007120627927143009,0.0026648839314778647,0.00047631657846862794,0.1,32,0.8,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.8}",0.9045182366402396,0.7628243447627489,0.924072860266616,0.8638051472232015,0.07184909034664262,37
0.07970865567525227,0.004089286375769335,0.003344376881917318,0.00046978085935932084,0.1,32,0.85,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.85}",0.9347676538291876,0.7742663375250316,0.9266479898091686,0.8785606603877959,0.07382168413143206,12
0.10789068539937337,0.04722652809379655,0.0033353169759114585,0.0004702472436519422,0.1,32,0.9,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.9}",0.9307422755915832,0.7602277417202356,0.9283260766888846,0.8730986980002345,0.0798179139581895,23
0.16015497843424478,0.02068880606673293,0.004328727722167969,0.0004636179492714179,0.1,64,0.6,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.6}",0.9241653675883913,0.7451710669432512,0.9279341968234837,0.8657568771183755,0.08528092490955656,36
0.12721029917399088,0.02232032125812803,0.0029992262522379556,0.0014150102475680654,0.1,64,0.7,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.7}",0.9470647668653578,0.7741445283741298,0.8983077565916217,0.8731723506103698,0.07279740698380016,22
