mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.04854973157246908,0.014874494491939913,0.011412700017293295,0.0026420762116144475,0.1,8,"{'learning_rate': 0.1, 'n_estimators': 8}",0.7975678442203866,0.43836330369023935,0.7960460948016428,0.6773257475707561,0.16897310657682632,24
0.06403485933939616,0.0054808304272120755,0.012955427169799805,0.0005774118984331388,0.1,16,"{'learning_rate': 0.1, 'n_estimators': 16}",0.8848560594099304,0.6520675266020093,0.7700797583144785,0.7690011147754726,0.09503858113288982,15
0.11474887530008952,0.014844451474293082,0.023522456487019856,0.007196767614266904,0.1,32,"{'learning_rate': 0.1, 'n_estimators': 32}",0.8764617205137399,0.6897152191214804,0.8821494252092982,0.8161087882815061,0.08940390834086855,6
0.22226103146870932,0.08434506586555852,0.054031054178873696,0.02356126479647309,0.1,64,"{'learning_rate': 0.1, 'n_estimators': 64}",0.875506732163162,0.6544470084369707,0.8991783159441767,0.8097106855147698,0.11021250090760944,7
0.6959190368652344,0.3623092370233709,0.0926045576731364,0.0433089808264186,0.1,128,"{'learning_rate': 0.1, 'n_estimators': 128}",0.874637717940142,0.7056651096547832,0.9131905090682833,0.8311644455544028,0.0901263628075481,4
1.2119370301564534,0.29668825277147065,0.14604949951171875,0.01627163536185917,0.1,256,"{'learning_rate': 0.1, 'n_estimators': 256}",0.8688210276392527,0.7076787522199528,0.9223635572999593,0.8329544457197215,0.09124034252822934,3
0.02440945307413737,0.0002670323801180245,0.005998770395914714,1.898420152253923e-05,0.01,8,"{'learning_rate': 0.01, 'n_estimators': 8}",0.811344723399007,0.6315369988979211,0.7232528112105527,0.7220448445024936,0.07341116552332907,21
0.05235417683919271,0.00568951507681635,0.010004599889119467,0.0014490000420640053,0.01,16,"{'learning_rate': 0.01, 'n_estimators': 16}",0.8102362275272723,0.6011375420049636,0.7625797236805167,0.7246511644042508,0.08947810450372481,20
0.2074742317199707,0.05843047009024309,0.056066433588663735,0.024470055992654092,0.01,32,"{'learning_rate': 0.01, 'n_estimators': 32}",0.8492330422370317,0.6120630012513575,0.7959344173969823,0.7524101536284572,0.1015978288407474,18
0.3598183790842692,0.017285613737934614,0.09136136372884114,0.03762666363539502,0.01,64,"{'learning_rate': 0.01, 'n_estimators': 64}",0.8556298096554048,0.6102000134108463,0.827815567417486,0.7645484634945791,0.10972994440976541,16
0.40370718638102215,0.010167881879678459,0.062370618184407554,0.0009547508905133863,0.01,128,"{'learning_rate': 0.01, 'n_estimators': 128}",0.849295254656975,0.6242800368840536,0.8499836464226068,0.7745196459878785,0.10623581812351335,13
0.9863224029541016,0.07378354289837624,0.18682154019673666,0.010900654480043825,0.01,256,"{'learning_rate': 0.01, 'n_estimators': 256}",0.8671706864459015,0.6324945108299809,0.8772285755628171,0.7922979242795666,0.11307265657082748,10
0.033216635386149086,0.003477997095266204,0.006354967753092448,0.0019181133062364096,0.5,8,"{'learning_rate': 0.5, 'n_estimators': 8}",0.8003735209354949,0.6984667762832095,0.8453382330796609,0.7813928434327884,0.06144377263929618,12
0.06155133247375488,0.005409339418304474,0.010806798934936523,0.0011888214203218893,0.5,16,"{'learning_rate': 0.5, 'n_estimators': 16}",0.8202064134502448,0.6805436387266117,0.8865216141238822,0.7957572221002462,0.08584891304084277,9
0.08964085578918457,0.03431561809511269,0.015374898910522461,0.007069284306693536,0.5,32,"{'learning_rate': 0.5, 'n_estimators': 32}",0.8321306311668182,0.6820774197368824,0.9070538638541699,0.8070873049192903,0.09353778646112253,8
0.19684457778930664,0.0634613743687005,0.03510697682698568,0.012531560248539428,0.5,64,"{'learning_rate': 0.5, 'n_estimators': 64}",0.8525314588793881,0.7104028603259682,0.927407837856385,0.8301140523539138,0.08999887093640105,5
0.3690783977508545,0.17706718405525756,0.05019783973693848,0.026263711189690703,0.5,128,"{'learning_rate': 0.5, 'n_estimators': 128}",0.8716660471437172,0.7505859491035632,0.9248566399771146,0.8490362120747984,0.07292302106020696,1
0.3496270974477132,0.3088995712606867,0.06084338823954264,0.05774249022399149,0.5,256,"{'learning_rate': 0.5, 'n_estimators': 256}",0.8568199802685501,0.7692967129324493,0.9155863839990301,0.8472343590666765,0.06010590689530973,2
0.02479712168375651,0.0006042731730384614,0.006129900614420573,0.0012287578437095768,0.001,8,"{'learning_rate': 0.001, 'n_estimators': 8}",0.8320229472623327,0.5227686709941205,0.8792864467789345,0.7446926883451294,0.15810579096404004,19
0.050054311752319336,0.001122120548443282,0.009517431259155273,7.496612131293187e-06,0.001,16,"{'learning_rate': 0.001, 'n_estimators': 16}",0.8409441535304415,0.6811047301511963,0.833007370419702,0.7850187513671133,0.07354971554662083,11
0.10082570711771648,0.006162896008759564,0.016873598098754883,0.0008628429316178747,0.001,32,"{'learning_rate': 0.001, 'n_estimators': 32}",0.8026556920490476,0.526156968718684,0.8179576160528275,0.7155900922735198,0.134095037055467,23
0.1944131056467692,0.0009920297751504746,0.0348967711130778,0.003375166563051768,0.001,64,"{'learning_rate': 0.001, 'n_estimators': 64}",0.8562739947979123,0.5694809879168248,0.7243071209797276,0.7166873678981549,0.11720666271374958,22
0.4732266267140706,0.1245029777679749,0.06493139266967773,0.003560630296316494,0.001,128,"{'learning_rate': 0.001, 'n_estimators': 128}",0.8382444521185176,0.6218495690039831,0.8289758789116294,0.7630233000113767,0.09989659105706528,17
