mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.015626907348632812,3.8933590933214475e-07,0.005207220713297526,0.007364122155015463,0.1,8,0.6,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.6}",0.5684714281456504,0.5568532809134266,0.6518284110017918,0.5923843733536229,0.04230004369749591,78
0.02083579699198405,0.007363281025133492,0.0,0.0,0.1,8,0.7,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.7}",0.6444130780721324,0.535716279426311,0.6295502513601274,0.6032265362861903,0.04812104176229587,76
0.005205790201822917,0.007362099106286941,0.0052098433176676435,0.007367831077684422,0.1,8,0.75,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.75}",0.6304967286632499,0.579236707756003,0.6474277786837834,0.6190537383676787,0.02899094178932213,71
0.010420640309651693,0.007368506085553956,0.0,0.0,0.1,8,0.8,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.8}",0.6121713903874162,0.5536007410821018,0.636827323752813,0.6008664850741103,0.034904791255340024,77
0.012815316518147787,0.00033011336551982636,0.0,0.0,0.1,8,0.85,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.85}",0.613556261645385,0.6202481127321158,0.6500656622059813,0.6279566788611607,0.01587031980664768,68
0.01316992441813151,0.0004223317276042356,0.004824241002400716,0.005464956523424187,0.1,8,0.9,"{'learning_rate': 0.1, 'n_estimators': 8, 'subsample': 0.9}",0.6758668873603717,0.5785570930479096,0.6198845359518863,0.6247695054533892,0.03987644427943546,69
0.017408212025960285,0.006044904987441749,0.0003101825714111328,0.0004386643993013851,0.1,16,0.6,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.6}",0.8331206057506618,0.7419926279340753,0.7766974601700409,0.7839368979515927,0.03755337694340143,59
0.017520984013875324,0.0059169698763080845,0.009100755055745443,0.005885969004910355,0.1,16,0.7,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.7}",0.816133634438836,0.7233467580185223,0.8303360989904082,0.7899388304825888,0.04744333873952015,56
0.022264401117960613,0.0064428630674516945,0.0,0.0,0.1,16,0.75,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.75}",0.8262699797042435,0.7089791004242636,0.8564549922327536,0.797234690787087,0.0636111660431533,53
0.03109574317932129,0.0062993205396760996,0.0,0.0,0.1,16,0.8,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.8}",0.8357447528359023,0.6968210622639486,0.8430118534233888,0.7918592228410799,0.06726758338729788,55
0.01330709457397461,2.4023161404933713e-05,0.008924166361490885,0.006310359235943526,0.1,16,0.85,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.85}",0.8280126698272927,0.6971407337683486,0.844397203329522,0.7898502023083878,0.06589586432270136,57
0.01800052324930827,0.006221804710148146,0.004476229349772136,0.006330344254740254,0.1,16,0.9,"{'learning_rate': 0.1, 'n_estimators': 16, 'subsample': 0.9}",0.8303227989296784,0.7182964405160788,0.8359154771525973,0.7948449055327848,0.05417607180749745,54
0.035622199376424156,0.006072079101528956,0.0,0.0,0.1,32,0.6,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.6}",0.881273283471025,0.7477833069144253,0.8946721034333255,0.8412428979395918,0.06631190672390135,48
0.03619941075642904,0.005919475541347795,0.004326979319254558,0.006119272837397697,0.1,32,0.7,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.7}",0.9336181626947527,0.7327138677337257,0.926593999932142,0.8643086767868735,0.09309575730730063,32
0.039026339848836265,0.006337908882121754,0.005204836527506511,0.007360750407134591,0.1,32,0.75,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.75}",0.9166160337518428,0.7826815643982679,0.8976611129910405,0.8656529037137171,0.05917772450346286,29
0.03646087646484375,0.007363055222945333,0.005206505457560222,0.007363110630651201,0.1,32,0.8,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.8}",0.9238384265809538,0.7429841883648622,0.8884666823803977,0.8517630991087378,0.07826207527240531,46
0.04687690734863281,2.5306834106589407e-06,0.0,0.0,0.1,32,0.85,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.85}",0.9070792076044429,0.7845738336425538,0.9080258505269514,0.866559630591316,0.05797400112233319,27
0.08209729194641113,0.0505788060053272,0.0,0.0,0.1,32,0.9,"{'learning_rate': 0.1, 'n_estimators': 32, 'subsample': 0.9}",0.9403841745076741,0.742548958964988,0.9153884917338032,0.866107208402155,0.08796278301007346,28
0.0781245231628418,1.215700987241932e-06,0.005208730697631836,0.007366257595340015,0.1,64,0.6,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.6}",0.9239434146076009,0.759748673812942,0.95023173971491,0.8779746093784843,0.08428443070736817,14
0.10937539736429851,0.03371965081668152,0.0,0.0,0.1,64,0.7,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.7}",0.9471027156968921,0.7300071759656159,0.9284189451686051,0.8685096122770378,0.09823259631588016,25
0.10422770182291667,0.026508925062982944,0.0,0.0,0.1,64,0.75,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.75}",0.9447807308264515,0.7219185419323297,0.929999006057404,0.8655660929387284,0.10175326048629893,30
0.09899814923604329,0.02952296844566393,0.00520785649617513,0.007365021287783696,0.1,64,0.8,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.8}",0.9401374407919005,0.7833056874551739,0.9270676537294951,0.8835035939921898,0.07105124999728289,10
0.08335049947102864,0.0073537579655798,0.005200306574503581,0.007354344086160936,0.1,64,0.85,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.85}",0.9510183111938675,0.7667409830661822,0.9576399023382661,0.8917997321994386,0.08847119839586953,2
0.08332459131876628,0.007371205457774803,0.0,0.0,0.1,64,0.9,"{'learning_rate': 0.1, 'n_estimators': 64, 'subsample': 0.9}",0.954391759473184,0.7503313793920373,0.9154920091616239,0.8734050493422817,0.08846334012776781,19
0.16147446632385254,0.007356681880603647,0.0,0.0,0.1,128,0.6,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.6}",0.9377746394328411,0.6871845614099767,0.9442278478422794,0.8563956828950324,0.11967933182847855,42
0.16669829686482748,0.007292508998000509,0.0,0.0,0.1,128,0.7,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.7}",0.9406630399547043,0.7492244870716172,0.916803515789044,0.8688970142717883,0.08518002327701703,24
0.16145928700764975,0.007361986879409979,0.0,0.0,0.1,128,0.75,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.75}",0.9484846301853322,0.751707550140383,0.9469696846779042,0.8823872883345398,0.09240659877534951,12
0.1563283602396647,7.605648173041895e-05,0.010413249333699545,0.007363281025133492,0.1,128,0.8,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.8}",0.952188564905414,0.7373517332134876,0.8944797881512218,0.8613400287567078,0.09078325397120696,34
0.16144371032714844,0.007370990638282617,0.0,0.0,0.1,128,0.85,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.85}",0.9547550469137065,0.7723555112257672,0.9434935851641164,0.8902013811011967,0.08345634353843079,5
0.16668097178141275,0.007339733491043353,0.0,0.0,0.1,128,0.9,"{'learning_rate': 0.1, 'n_estimators': 128, 'subsample': 0.9}",0.961856123656735,0.7139973566613753,0.9417107709729765,0.8725214170970289,0.11239474220040521,22
0.32310978571573895,0.0073389564351486955,0.0,0.0,0.1,256,0.6,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.6}",0.9381531554551522,0.7075292074950637,0.9501779323155314,0.8652867650885825,0.11165940488240648,31
0.31782110532124835,0.007289013908672866,0.0,0.0,0.1,256,0.7,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.7}",0.958103747303787,0.7147753267093929,0.9038434788414046,0.8589075176181948,0.10429640621974452,38
0.31770912806193036,0.007368169497115296,0.0,0.0,0.1,256,0.75,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.75}",0.945971351992065,0.7604952296030754,0.9150627388136484,0.8738431068029295,0.0811362703170338,17
0.32303396860758465,0.00745454119973984,0.0,0.0,0.1,256,0.8,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.8}",0.9439542653319353,0.7178601352465206,0.9428663186256343,0.8682269064013634,0.106326291222377,26
0.3281416098276774,2.871687756513383e-05,0.0,0.0,0.1,256,0.85,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.85}",0.9605864420313447,0.7333065492328981,0.9420614984502872,0.8786514965715099,0.10305228016664889,13
0.32836135228474933,0.00020684405331716197,0.0,0.0,0.1,256,0.9,"{'learning_rate': 0.1, 'n_estimators': 256, 'subsample': 0.9}",0.9658069038867447,0.7404755686482531,0.9469115608121607,0.8843980111157195,0.10206047417039055,7
0.0156253178914388,1.2665889621185641e-06,0.0,0.0,0.01,8,0.6,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.6}",0.048435449778317596,0.07532745642044436,-0.006649285864773091,0.03903787344466295,0.034120203200199824,120
0.015624443689982096,1.5854785715150837e-06,0.0,0.0,0.01,8,0.7,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.7}",0.061635728015096425,0.06918727096045574,0.0024457849684293986,0.04442292798132719,0.029841993363467493,119
0.015624602635701498,6.836513890459241e-07,0.0,0.0,0.01,8,0.75,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.75}",0.07153736499049979,0.07618882866055432,0.016955808694033014,0.054894000781695707,0.026893479293052355,116
0.01569199562072754,9.424040353492347e-05,0.00033783912658691406,0.00047777667471949475,0.01,8,0.8,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.8}",0.07018785033449304,0.0665881853017426,0.004782406091238589,0.04718614724249141,0.030019963855228524,118
0.01042469342549642,0.007371379330610708,0.0048371156056722,0.006840714492308175,0.01,8,0.85,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.85}",0.06353745555248247,0.06566884879519341,0.020802619187246907,0.05000297451164093,0.02066609578660853,117
0.0052102406819661455,0.007368393035664568,0.01041849454243978,0.007366990378986562,0.01,8,0.9,"{'learning_rate': 0.01, 'n_estimators': 8, 'subsample': 0.9}",0.07597586404498768,0.06136391874334912,0.03034527704395862,0.05589501994409848,0.019025758996195213,115
0.020835399627685547,0.007362885870619934,0.0,0.0,0.01,16,0.6,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.6}",0.17067505832043783,0.16148374369290064,0.10863470010207477,0.14693116737180442,0.027338429851909936,107
0.020827213923136394,0.00736530334789912,0.0,0.0,0.01,16,0.7,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.7}",0.17346431310267385,0.16880034824716905,0.13858637146011654,0.16028367760331982,0.015460012126930578,104
0.026041428248087566,0.00736569563735987,0.0,0.0,0.01,16,0.75,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.75}",0.16673185606047802,0.16177170343954694,0.11165248217545376,0.1467186805584929,0.024878095858066596,108
0.026100317637125652,0.007394805665437274,0.0,0.0,0.01,16,0.8,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.8}",0.1687768627687174,0.1591961755709348,0.12581747820659916,0.15126350551541712,0.018413267339000804,106
0.02604190508524577,0.007365864225397009,0.0,0.0,0.01,16,0.85,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.85}",0.1663623501086463,0.1597032242686124,0.12795924568243433,0.15134160668656435,0.01675583667132037,105
0.020839373270670574,0.00736733295459654,0.005208730697631836,0.007366257595340015,0.01,16,0.9,"{'learning_rate': 0.01, 'n_estimators': 16, 'subsample': 0.9}",0.1629879470975264,0.17064577038726236,0.14887866719448173,0.16083746155975684,0.009015547178343542,103
0.04166054725646973,0.007364909266658514,0.00520777702331543,0.0073649088961876665,0.01,32,0.6,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.6}",0.2870369094182692,0.29490281918679095,0.29491829662471825,0.29228600840992613,0.003711678870442283,96
