mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.02083476384480794,0.029464805598168005,0.005208889643351237,0.007366482378532073,0.1,8,"{'learning_rate': 0.1, 'n_estimators': 8}",0.6547326694456412,0.5644790555792344,0.6099159673517345,0.6097092307922034,0.03684617355972803,12
0.010419448216756185,0.007367662958992303,0.005208571751912435,0.007366032812147957,0.1,16,"{'learning_rate': 0.1, 'n_estimators': 16}",0.8375939217320052,0.7094974457696721,0.82456897495835,0.7905534474866758,0.0575613809793471,9
0.015620708465576172,8.265941535644395e-06,0.0,0.0,0.1,32,"{'learning_rate': 0.1, 'n_estimators': 32}",0.9264240973530364,0.7451306230117976,0.9149260636031917,0.8621602613226752,0.08288547672304351,2
0.03142325083414713,0.0002458570979913454,0.0,0.0,0.1,64,"{'learning_rate': 0.1, 'n_estimators': 64}",0.9477111977456083,0.7477813745462458,0.8968352216220077,0.8641092646379539,0.08483798184981255,1
0.04843441645304362,0.006187311511545482,0.009106874465942383,0.006439654541339814,0.1,128,"{'learning_rate': 0.1, 'n_estimators': 128}",0.9488107101926434,0.7437339391341485,0.8894818683883416,0.8606755059050446,0.08616447603888705,5
0.09769940376281738,0.01687635571685083,0.009131352106730143,0.006458355747776889,0.1,256,"{'learning_rate': 0.1, 'n_estimators': 256}",0.948658324934623,0.74440719659821,0.8892244281457234,0.8607633165595189,0.08577939539390665,4
0.01363674799601237,0.0006594276995694357,0.0,0.0,0.01,8,"{'learning_rate': 0.01, 'n_estimators': 8}",0.05849331171453498,0.07552468170845084,-0.009768644903684454,0.041416449506433785,0.0368551426379635,20
0.012926101684570312,0.0005263526676271583,0.004441022872924805,0.006280554777699385,0.01,16,"{'learning_rate': 0.01, 'n_estimators': 16}",0.16402481240941869,0.16327571446050693,0.09031452947606311,0.13920501878199623,0.03457214915086455,18
0.02664804458618164,4.4762201952298264e-05,0.0,0.0,0.01,32,"{'learning_rate': 0.01, 'n_estimators': 32}",0.33678468082605684,0.30191647814020683,0.2641588817210716,0.3009533468957784,0.029657178897695965,16
0.041452884674072266,0.0016581200345092467,0.0,0.0,0.01,64,"{'learning_rate': 0.01, 'n_estimators': 64}",0.571990585336333,0.49964397316582554,0.504048788563445,0.5252277823552012,0.03311515671774167,14
0.06028389930725098,0.003134377319716008,0.005207141240437825,0.007364009763419435,0.01,128,"{'learning_rate': 0.01, 'n_estimators': 128}",0.7901914997814933,0.6679141417009371,0.7510022295660724,0.736369290349501,0.05098058622245038,11
0.1093757152557373,3.520208134706831e-06,0.0,0.0,0.01,256,"{'learning_rate': 0.01, 'n_estimators': 256}",0.9195966831187932,0.7492271883694435,0.8932821478934848,0.8540353397939072,0.07488513490580526,8
0.015623887379964193,5.346580566264521e-06,0.0,0.0,0.05,8,"{'learning_rate': 0.05, 'n_estimators': 8}",0.4087601544888084,0.3705591117020389,0.33565034094587964,0.37165653571224233,0.029857042314604006,15
0.015625556310017902,4.82499098353721e-06,0.0,0.0,0.05,16,"{'learning_rate': 0.05, 'n_estimators': 16}",0.6557262848831702,0.5670137115777634,0.5905844792585566,0.6044414919064968,0.03751881985760101,13
0.015622933705647787,1.1047013368269536e-05,0.0,0.0,0.05,32,"{'learning_rate': 0.05, 'n_estimators': 32}",0.8389140686868399,0.7067531015001118,0.8138907913161784,0.7865193205010433,0.05732090004451951,10
0.031247774759928387,4.057009702714354e-06,0.005210558573404948,0.007368842602048683,0.05,64,"{'learning_rate': 0.05, 'n_estimators': 64}",0.9281874168623967,0.7365544475337884,0.907419497500912,0.8573871206323657,0.08586123605276139,7
0.06250262260437012,5.939765593546166e-06,0.0,0.0,0.05,128,"{'learning_rate': 0.05, 'n_estimators': 128}",0.948352141943249,0.7405816908755839,0.893682813654153,0.8608722154909954,0.08793763547000572,3
0.10966730117797852,0.00039247150161161924,0.0,0.0,0.05,256,"{'learning_rate': 0.05, 'n_estimators': 256}",0.9497563311338914,0.7393090838748471,0.8853409045071188,0.8581354398386191,0.08804208823284111,6
0.005207538604736328,0.007364571721399579,0.005207935969034831,0.007365133679379725,0.001,8,"{'learning_rate': 0.001, 'n_estimators': 8}",-0.035364718018237706,-0.0239618138850477,-0.11140014234936535,-0.056908891417550254,0.038811328902381155,24
0.015623092651367188,2.2450203723630166e-06,0.0,0.0,0.001,16,"{'learning_rate': 0.001, 'n_estimators': 16}",-0.0245188693903875,-0.011977638290252335,-0.09957795246617729,-0.04535815338227237,0.03867954307642057,23
0.020833889643351238,0.007364122659321317,0.005208412806193034,0.007365808028955898,0.001,32,"{'learning_rate': 0.001, 'n_estimators': 32}",-0.0032622517253368954,0.011455819451601679,-0.07637476293092638,-0.02272706506822053,0.038407568865771645,22
0.03124682108561198,6.750048754242602e-06,0.0,0.0,0.001,64,"{'learning_rate': 0.001, 'n_estimators': 64}",0.03791455873450433,0.05538773481796644,-0.03167954412677898,0.020540916475230597,0.03760815824370597,21
0.06250206629435222,6.233428812385425e-06,0.0,0.0,0.001,128,"{'learning_rate': 0.001, 'n_estimators': 128}",0.1217939821277757,0.12896710618047602,0.051215146848530346,0.10065874505226069,0.03508433154242125,19
0.10937285423278809,7.2106019479203255e-06,0.0,0.0,0.001,256,"{'learning_rate': 0.001, 'n_estimators': 256}",0.2732447581200649,0.24998767665599353,0.19948368675131223,0.2409053738424569,0.030790042553441824,17
