mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.03607940673828125,0.007662072168927962,0.005335569381713867,0.00754563458260238,8,{'n_estimators': 8},0.9333456517159143,0.724576474588544,0.9323009012031482,0.863407675835869,0.09816941039427672,3
0.04686983426411947,7.682193739315398e-06,0.010428746541341146,0.007374238531789747,16,{'n_estimators': 16},0.931353297026671,0.7435495220953419,0.9161136608978534,0.8636721600066221,0.0851670817918445,2
0.08262244860331218,0.006058549854064533,0.013811747233072916,0.0025788534143554726,32,{'n_estimators': 32},0.9105928854002601,0.7302609767338408,0.9332957597268181,0.8580498739536396,0.09083448983420746,5
0.19395669301350912,0.04041672741995996,0.026037851969401043,0.007362324818554891,64,{'n_estimators': 64},0.9273717330955931,0.7327334782971111,0.911888596868246,0.8573312694203167,0.08833039884979246,6
0.329090674718221,0.0012146057135525362,0.042398691177368164,0.006397200620423397,128,{'n_estimators': 128},0.9208985507688732,0.7539983827273461,0.9149813806799613,0.8632927713920603,0.0773205482419797,4
0.9373460610707601,0.09828259680076057,0.15219871203104654,0.07475476304744598,256,{'n_estimators': 256},0.9257726575409375,0.7393910900337815,0.9299764777377741,0.865046741770831,0.08886853637502552,1
